B,model,jaccard@5_mean,jaccard@5_std,jaccard@5_n_pairs,jaccard@10_mean,jaccard@10_std,jaccard@10_n_pairs,spearman_mean,spearman_std,spearman_n_pairs
30,LR,0.5413793103448276,0.18443351654199255,435,0.4644945093220955,0.13332237033125802,435,0.823834635281648,0.026940995116641976,435
30,RF,0.9777777777777777,0.08314794192830982,435,0.8537791710205503,0.09747259267913291,435,0.9797549509547273,0.0023700485430886435,435
30,XGBoost,0.7301587301587301,0.16379441807788148,435,0.8546151166840822,0.09431893419312941,435,0.892402123450158,0.012279468617629281,435
30,LightGBM,0.813136288998358,0.169177221636394,435,0.8495297805642633,0.08662228537539271,435,0.9235207903494497,0.009116645074627725,435
50,LR,0.5479689018464529,0.20341641642251088,1225,0.4888556341617565,0.1339979109269922,1225,0.8287868610300934,0.026912442141252477,1225
50,RF,0.9142857142857143,0.14568627181693672,1225,0.8517939203653491,0.09892911023656029,1225,0.9794046000725088,0.002589617442013728,1225
50,XGBoost,0.7826239067055394,0.169588933954899,1225,0.8805194805194806,0.1032664905308855,1225,0.8938262738119217,0.012189061085429229,1225
50,LightGBM,0.8025267249757045,0.16648498230186617,1225,0.8511069882498453,0.08564353963136084,1225,0.9228997014133647,0.009639382665950767,1225
80,LR,0.5754746835443039,0.1737289172845132,3160,0.465327183365158,0.13376012050048897,3160,0.8245949104752525,0.0270788451962246,3160
80,RF,0.9598101265822785,0.10854215101628198,3160,0.8333908707326428,0.09731608367304535,3160,0.9799298396442371,0.0025135640543600705,3160
80,XGBoost,0.781796262808921,0.16291878232019094,3160,0.876131568853088,0.08976184212440984,3160,0.8922268202637318,0.013462372370535996,3160
80,LightGBM,0.823372513562387,0.16842637262455218,3160,0.8557057920981973,0.08683420608182783,3160,0.9225036739516586,0.009379712094138766,3160
100,LR,0.5727392977392978,0.1852012031358871,4950,0.46349979194898977,0.1335436480204879,4950,0.827015041512859,0.025604755876615953,4950
100,RF,0.9374410774410774,0.1301512788818237,4950,0.8210148101057193,0.09925157566649707,4950,0.9798575904234391,0.002357925662783608,4950
100,XGBoost,0.7689850889850891,0.16209784834209306,4950,0.8716498316498317,0.09049322513734274,4950,0.8913110447642325,0.01249443911389837,4950
100,LightGBM,0.872178932178932,0.16929281367565863,4950,0.8577838996020816,0.0850525187556713,4950,0.9233165323671545,0.009502248456685602,4950
